iter	Passed	Remaining
406	6614	9637
407	6631	9621
408	6646	9603
409	6662	9588
410	6679	9572
411	6695	9555
412	6713	9541
413	6729	9525
414	6745	9509
415	6762	9493
416	6779	9478
417	6795	9462
418	6812	9446
419	6828	9429
420	6845	9415
421	6861	9398
422	6878	9383
423	6895	9367
424	6910	9349
425	6928	9335
426	6944	9319
427	6961	9303
428	6978	9288
429	6993	9271
430	7010	9255
431	7026	9238
432	7043	9223
433	7060	9207
434	7077	9192
435	7093	9176
436	7110	9160
437	7126	9144
438	7143	9128
439	7159	9112
440	7176	9096
441	7192	9080
442	7207	9062
443	7223	9045
444	7238	9028
445	7254	9011
446	7271	8996
447	7287	8979
448	7304	8963
449	7320	8947
450	7337	8931
451	7353	8915
452	7370	8900
453	7386	8883
454	7403	8868
455	7419	8851
456	7436	8835
457	7452	8819
458	7470	8805
459	7486	8788
460	7503	8773
461	7521	8758
462	7537	8741
463	7553	8725
464	7570	8710
465	7586	8693
466	7602	8677
467	7618	8660
468	7634	8643
469	7650	8626
470	7669	8613
471	7684	8596
472	7700	8580
473	7717	8564
474	7733	8547
475	7749	8531
476	7766	8515
477	7782	8498
478	7797	8481
479	7815	8466
480	7832	8451
481	7848	8434
482	7866	8419
483	7881	8402
484	7897	8386
485	7914	8370
486	7933	8357
487	7948	8339
488	7964	8323
489	7979	8305
490	7996	8289
491	8013	8273
492	8028	8256
493	8045	8241
494	8061	8224
495	8079	8209
496	8095	8192
497	8111	8176
498	8128	8160
499	8144	8144
500	8160	8128
501	8177	8112
502	8193	8096
503	8209	8079
504	8226	8063
505	8242	8046
506	8259	8031
507	8276	8016
508	8292	7999
509	8309	7983
510	8327	7968
511	8342	7951
512	8359	7935
513	8375	7918
514	8392	7903
515	8408	7887
516	8424	7870
517	8440	7853
518	8458	7839
519	8474	7822
520	8491	7806
521	8507	7790
522	8523	7774
523	8539	7757
524	8556	7741
525	8571	7724
526	8588	7708
527	8605	7692
528	8621	7676
529	8637	7660
530	8655	7644
531	8671	7628
532	8688	7612
533	8705	7597
534	8723	7581
535	8737	7564
536	8755	7548
537	8771	7532
538	8787	7515
539	8804	7499
540	8818	7481
541	8834	7465
542	8851	7449
543	8868	7433
544	8884	7417
545	8901	7401
546	8917	7385
547	8934	7369
548	8951	7353
549	8967	7337
550	8984	7321
551	8999	7304
552	9016	7288
553	9032	7271
554	9049	7255
555	9065	7239
556	9082	7223
557	9099	7207
558	9117	7192
559	9133	7175
560	9149	7159
561	9166	7144
562	9182	7127
563	9198	7110
564	9215	7094
565	9230	7078
566	9247	7062
567	9263	7045
568	9280	7029
569	9296	7012
570	9311	6995
571	9327	6979
572	9346	6964
573	9362	6948
574	9378	6931
575	9394	6915
576	9410	6899
577	9427	6882
578	9444	6867
579	9460	6850
580	9476	6834
581	9492	6817
582	9509	6802
583	9527	6786
584	9544	6770
