iter	Logloss
0	0.6855796344
1	0.6790354564
2	0.6727935224
3	0.6670606012
4	0.6613716196
5	0.6562383516
6	0.6515899545
7	0.6472597292
8	0.6430089612
9	0.6385473246
10	0.634707209
11	0.6306993882
12	0.6272842759
13	0.6239311209
14	0.6209854518
15	0.6180131236
16	0.6151198986
17	0.6121513847
18	0.6095610836
19	0.6071582212
20	0.6046668088
21	0.6024952809
22	0.600484303
23	0.5982026971
24	0.5961145327
25	0.5942080914
26	0.5926890425
27	0.5907068987
28	0.5890913689
29	0.5874574672
30	0.5858174305
31	0.5844173918
32	0.5837154665
33	0.5822548353
34	0.5809701005
35	0.5793955459
36	0.5780596744
37	0.576980175
38	0.5756835905
39	0.5746470765
40	0.5735786517
41	0.5723633816
42	0.5714888694
43	0.5704429351
44	0.5691042438
45	0.5680671518
46	0.5672017658
47	0.5665116825
48	0.565783486
49	0.56517686
50	0.5643997198
51	0.5631661787
52	0.5620979227
53	0.5610138997
54	0.5606045662
55	0.559558695
56	0.5585002588
57	0.5578579249
58	0.5569201741
59	0.5559807822
60	0.5550926179
61	0.5546512826
62	0.5540061567
63	0.5534152397
64	0.552826717
65	0.5520723247
66	0.5515850528
67	0.5509709481
68	0.550206759
69	0.5494692566
70	0.5489225482
71	0.5482294587
72	0.5476157807
73	0.5470114107
74	0.546581117
75	0.545851923
76	0.545171344
77	0.5446109693
78	0.5444113718
79	0.5437916077
80	0.5431570648
81	0.5427812313
82	0.5421326047
83	0.5415928901
84	0.5408258076
85	0.5403484752
86	0.5396924027
87	0.5394213651
88	0.5389855225
89	0.5386536159
90	0.5380941468
91	0.5375599472
92	0.537323293
93	0.5370113376
94	0.5365387648
95	0.5362827431
96	0.535807929
97	0.535252234
98	0.5346310815
99	0.5342947641
100	0.5338419592
101	0.533422302
102	0.5329922171
103	0.5325238623
104	0.5324278914
105	0.5323009259
106	0.5319728783
107	0.5316422068
108	0.5312796133
109	0.5310113603
110	0.5305869744
111	0.5302142887
112	0.5298330932
113	0.5295259134
114	0.5291242775
115	0.5286966231
116	0.5284342058
117	0.5280689629
118	0.5277600183
119	0.5274455993
120	0.5271093781
121	0.5266409914
122	0.5262848247
123	0.5259937174
124	0.5257388046
125	0.5255696353
126	0.525357542
127	0.5251292196
128	0.5247767655
129	0.5244836379
130	0.5241649614
131	0.5238947382
